260,49,105,306
266,47,104,306
266,48,104,306
271,48,105,307
276,48,106,307
278,48,107,308
281,50,111,308
285,52,111,305
285,52,109,305
295,55,100,301
284,59,117,296
280,58,125,296
277,60,131,295
264,64,143,290
265,64,142,290
227,69,184,286
249,83,168,271
241,94,186,261
236,107,188,248
228,115,193,240
228,115,194,240
223,105,199,251
212,140,204,214
209,139,201,215
205,145,200,209
201,143,199,212
201,139,199,216
199,128,197,227
199,132,193,223
199,133,192,223
199,134,191,221
198,138,190,217
198,138,190,217
196,134,191,221
197,138,191,218
198,137,191,217
195,139,191,216
194,140,191,215
194,140,191,215
193,141,191,213
182,142,193,213
182,140,193,215
181,141,192,214
179,136,194,219
179,135,193,220
174,141,192,214
174,138,192,217
173,139,191,215
176,137,191,218
176,136,193,218
176,136,192,218
171,136,191,218
164,138,191,216
163,141,192,214
164,143,192,212
170,146,193,209
170,147,194,209
175,147,192,208
172,160,192,195
175,162,193,194
180,159,191,196
177,165,191,190
177,165,191,191
176,168,190,187
185,164,189,191
181,165,194,190
185,168,188,187
190,170,188,185
190,170,188,185
188,175,187,180
189,175,184,180
188,173,184,181
189,172,183,184
190,171,182,183
190,172,182,183
189,173,181,182
187,183,181,172
186,189,181,166
186,191,181,165
183,192,180,163
183,193,180,162
181,195,181,161
179,196,181,160
174,199,181,156
171,204,180,152
169,205,181,151
169,205,181,151
168,207,181,149
162,217,180,140
157,218,179,139
155,215,179,142
151,214,179,143
151,214,179,143
150,213,179,143
152,205,178,151
156,201,178,155
161,200,176,156
163,199,177,157
162,199,177,156
161,200,175,156
164,203,174,153
166,104,173,252
165,26,172,330
169,94,171,261
169,96,171,259
176,73,170,282
175,16,168,338
177,12,166,343
178,184,167,171
176,178,167,177
176,171,167,184
173,157,169,198
177,141,174,215
174,138,176,218
180,125,173,231
186,109,170,246
186,109,169,247
186,95,169,261
198,79,149,276
198,79,148,276
198,82,152,274
205,82,148,274
205,82,149,274
205,84,165,272
209,85,140,271
209,88,135,268
213,91,130,264
220,88,126,269
219,89,127,268
216,88,128,268
213,89,126,267
213,88,126,268
210,87,130,269
209,86,128,270
209,86,128,270
212,83,125,273
209,80,128,276
212,79,129,277
213,76,131,279
212,75,131,280
212,75,131,280
212,74,133,282
207,71,135,284
209,72,134,283
207,69,136,287
201,67,140,288
202,67,139,288
201,68,134,288
198,64,134,292
200,63,132,292
