951,287,54,134
946,288,53,134
941,288,53,134
935,288,53,134
930,288,53,134
924,288,53,134
918,288,53,134
912,287,51,137
908,284,50,139
901,284,51,139
893,284,51,139
887,284,51,139
881,284,51,139
874,284,51,139
867,284,50,139
861,284,49,139
856,284,46,139
850,284,43,139
844,284,42,139
837,284,38,139
830,284,34,139
819,283,33,142
814,283,33,142
805,283,36,142
794,283,40,142
787,279,42,145
779,285,42,139
773,285,42,139
768,285,42,139
761,285,43,139
754,285,44,139
748,288,44,139
740,288,45,139
733,286,46,139
725,286,46,139
717,286,48,139
711,286,48,139
702,286,47,139
695,286,45,139
689,287,43,139
682,287,39,139
674,287,37,139
665,287,37,139
660,287,37,139
648,287,43,139
637,286,49,142
622,286,59,142
610,286,65,142
602,286,68,142
595,286,69,142
588,286,72,142
580,290,73,139
575,293,74,139
569,291,75,139
563,292,75,136
559,292,74,136
554,296,68,133
550,298,65,131
546,293,62,137
539,289,61,140
532,297,58,137
525,299,58,140
518,299,56,140
512,302,55,140
508,303,53,140
501,302,53,143
495,304,52,140
489,305,52,143
482,309,53,140
476,309,54,140
470,308,55,143
465,312,55,140
460,312,55,140
456,312,55,146
452,314,55,143
447,319,55,140
441,320,64,137
437,321,56,116
432,321,56,116
427,319,56,144
422,323,56,141
417,322,56,144
411,322,56,144
404,318,62,147
399,318,65,147
392,319,69,147
385,319,72,147
380,319,73,147
374,321,76,128
369,324,76,128
364,322,81,128
361,326,81,153
359,328,81,150
354,329,81,150
355,331,79,147
351,331,80,148
351,331,80,148
348,333,80,145
349,334,78,145
344,334,79,145
344,334,77,145
342,333,77,148
338,335,78,145
336,335,79,145
333,335,79,145
328,337,82,142
328,335,80,145
326,335,78,145
324,334,80,148
324,336,78,145
320,337,79,145
318,336,80,148
317,337,80,148
313,335,81,148
313,335,81,148
311,337,82,145
309,337,82,145
308,336,82,148
303,338,88,145
301,337,88,148
299,337,92,148
298,337,90,148
294,337,90,148
292,337,90,148
290,337,90,148
290,337,90,148
288,337,90,148
286,336,90,151
284,336,90,151
282,336,90,151
283,336,88,151
281,336,88,151
279,336,88,151
279,336,88,151
277,336,88,151
275,336,88,151
275,336,88,151
275,336,88,151
274,334,86,154
274,337,86,154
274,332,86,157
275,332,84,157
275,332,84,157
275,332,84,157
274,331,86,160
275,331,88,160
273,331,95,160
275,331,95,160
274,331,97,160
275,331,99,160
